age,weight_kg,height_m,bmi,bmi_calc,fat_percentage,water_intake_liters,lean_mass_kg,max_bpm,avg_bpm,resting_bpm,session_duration_hours,calories_burned,experience_level,sets,reps,cal_balance,difficulty_level_enc,intensity_of_burn_enc,gender_Male,workout_type_HIIT,workout_type_Strength,workout_type_Yoga,body_part_Arms,body_part_Back,body_part_Chest,body_part_Forearms,body_part_Legs,body_part_Shoulders
27,71.79,1.97,18.5,18.498286479940223,24.477762525783994,3.59,54.21741428273968,180.96,151.11,72.68,0.75,743.85,1.02,4.0,15.13,1302.15,2,2,False,False,True,False,False,False,True,False,False,False
18,95.12,1.85,27.79,27.792549306062817,28.04992817494376,2.3,68.4389083199935,189.48,142.51,49.9,1.2,1293.84,1.98,4.99,17.87,1161.16,2,2,False,False,True,False,False,False,False,False,True,False
40,56.88,1.71,19.45,19.45213911972915,21.80926489283508,2.69,44.47489012895541,168.02,142.67,60.89,1.87,2189.58,3.01,5.0,20.9,-449.5799999999999,2,1,True,False,True,False,False,False,False,True,False,False
37,76.48,1.77,24.41,24.411886750295253,30.300737914959768,2.09,53.30599564263877,180.29,127.8,56.76,1.36,1305.6,2.0,5.0,16.98,860.4000000000001,0,2,True,False,False,False,False,False,True,False,False,False
18,72.56,1.79,22.65,22.645984831934086,26.40511440359576,1.58,53.40044898875092,177.48,124.41,60.95,0.81,803.36,1.02,4.0,25.07,998.64,0,0,True,False,True,False,False,False,False,False,True,False
46,60.05,1.68,21.28,21.27621882086168,21.804029360668224,2.51,46.95668036891873,164.91,147.1,62.34,1.17,1544.4,2.0,4.0,23.01,171.5999999999999,1,2,True,True,False,False,False,False,True,False,False,False
37,73.04,1.74,24.12,24.124719249570617,25.78541781279678,2.39,54.20633082953324,188.15,140.95,65.11,1.04,1123.2,2.0,4.98,22.86,914.8,0,0,False,False,True,False,False,False,False,False,False,False
50,86.72,1.63,32.64,32.63954232376078,29.12385208982389,3.51,61.46379546770473,160.86,143.17,58.08,1.7,1326.0,3.0,5.0,17.09,886.0,2,2,False,False,False,True,False,False,True,False,False,False
30,76.77,1.71,26.25,26.254232071406587,29.31860660365026,1.82,54.26210571037769,189.88,137.2,51.88,1.27,1214.12,1.95,4.0,24.02,967.88,2,2,False,False,False,False,False,False,False,True,False,False
24,88.29,1.79,27.56,27.555319746574703,26.7693540494346,3.48,64.65533730975419,177.55,153.6,65.23,1.76,1831.81,3.01,3.99,23.85,578.19,1,2,False,False,False,False,False,True,False,False,False,False
50,57.01,1.91,15.63,15.627312847783775,22.39259644326159,2.72,44.24398076769656,184.12,131.58,68.07,1.09,1177.2,2.0,4.01,14.99,332.79999999999995,0,2,True,False,True,False,False,False,False,True,False,False
54,87.22,1.76,28.16,28.15728305785124,28.418499463942585,3.39,62.43338476754927,188.72,157.91,68.0,1.48,1067.38,2.02,5.0,16.88,1201.62,2,1,False,False,False,True,False,False,True,False,False,False
25,105.44,1.88,29.83,29.83250339520145,30.892571504733954,2.28,72.86687260540852,174.12,155.79,67.11,1.33,1277.86,2.01,3.98,15.03,1738.14,0,2,False,False,False,False,False,False,False,False,False,True
39,102.34,1.94,27.19,27.192050164735893,32.46285886287696,2.41,69.11751023973171,192.28,133.68,50.01,0.9,792.0,1.0,5.02,22.0,1832.0,0,3,True,False,False,False,False,False,False,True,False,False
44,89.6,1.99,22.63,22.62569127042246,23.09052321392091,2.02,68.91089120032686,192.1,135.01,58.1,1.4,1848.0,2.0,4.99,14.99,753.0,2,1,False,True,False,False,False,True,False,False,False,False
18,58.56,1.61,22.59,22.591720998418268,24.496921662616764,2.72,44.214602674371626,174.64,150.33,70.81,1.9,2226.42,3.02,4.99,24.98,-677.4200000000001,2,0,True,False,True,False,True,False,False,False,False,False
57,76.9,1.86,22.23,22.22800323736848,29.439410708808744,2.8,54.26109316492608,173.05,140.94,55.07,1.15,827.31,1.99,3.99,16.01,1153.69,0,2,False,False,False,True,False,False,False,False,True,False
49,52.57,1.84,15.53,15.527528355387522,14.84197561792194,3.1,44.76757341765843,195.03,124.28,51.7,1.38,1324.8,2.0,5.01,16.02,172.20000000000005,0,1,True,False,False,False,False,False,False,False,True,False
31,126.53,1.83,37.78,37.7825554659739,35.0,2.09,82.2445,197.68,146.15,61.92,1.1,790.68,1.98,5.0,18.06,2464.32,0,3,True,False,False,True,False,False,False,False,False,False
41,59.72,1.74,19.73,19.72519487382745,19.446703083030147,2.7,48.1064289188144,194.24,141.17,51.86,1.78,2545.4,3.0,5.01,15.88,-804.4000000000001,0,3,True,True,False,False,False,False,False,False,False,True
37,76.59,1.82,23.12,23.122207462866804,22.57558193854224,2.8,59.299361793270506,191.56,121.3,49.83,1.49,1072.8,2.0,3.98,19.04,877.2,0,1,True,False,False,True,False,True,False,False,False,False
39,79.99,1.76,25.82,25.82321797520661,28.830453231342894,3.5,56.92852046024881,167.75,166.6,74.26,1.63,1902.7,2.97,5.03,21.92,127.29999999999995,0,1,True,False,True,False,False,False,False,False,False,True
25,127.55,1.73,42.62,42.61752814995489,35.0,2.91,82.9075,167.12,159.98,62.04,1.33,1607.84,1.0,2.99,10.07,1705.16,0,0,False,True,False,False,True,False,False,False,False,False
58,56.96,1.7,19.71,19.70934256055364,23.5650452462822,2.7,43.53735022771766,170.09,121.89,57.07,0.74,895.4,1.0,4.99,16.02,494.6,2,2,False,True,False,False,False,False,False,True,False,False
48,56.53,1.51,24.79,24.79277224683128,28.50765309226645,2.11,40.414623706941775,184.75,125.44,52.26,1.37,1311.91,1.97,5.02,23.09,177.08999999999992,1,0,False,False,False,False,False,False,False,False,True,False
27,88.2,1.98,22.5,22.497704315886136,21.047071801739808,3.5,69.63648267086549,161.8,152.85,52.99,1.8,2577.96,3.02,4.0,23.96,-46.96000000000004,2,0,True,True,False,False,False,False,False,False,False,False
40,51.72,1.61,19.95,19.952933914586627,23.71315012526436,3.32,39.45555875521328,198.12,128.23,70.18,0.86,566.57,1.0,3.99,23.0,758.43,1,2,True,False,False,True,False,True,False,False,False,False
41,77.05,1.79,24.05,24.047314378452608,25.765634036189088,2.0,57.19757897511631,171.94,132.06,56.07,1.4,1849.54,2.01,4.0,22.02,484.46,2,0,False,True,False,False,False,False,False,True,False,False
52,51.93,1.67,18.62,18.620244540858405,22.0592370284323,1.51,40.47463821113511,169.0,124.55,51.78,1.5,1818.3,1.02,4.98,18.0,-465.3,1,2,False,True,False,False,False,False,False,False,False,True
36,109.87,1.77,35.07,35.069743687956844,33.42563807603815,3.42,73.14525144585689,191.11,156.06,73.76,1.19,786.11,1.01,4.0,22.99,1941.89,1,3,False,False,False,True,True,False,False,False,False,False
33,102.83,1.75,33.58,33.57714285714286,29.93347627236046,2.21,72.04940634913174,185.94,140.25,52.91,1.4,1003.8,1.95,4.03,21.02,1653.2,0,3,True,False,False,True,False,False,True,False,False,False
37,88.65,1.79,27.67,27.66767579039356,29.59749049937583,3.47,62.411824672303325,182.36,137.78,67.81,1.74,2490.11,3.01,3.99,21.86,130.88999999999987,0,3,False,True,False,False,False,False,False,False,False,False
21,80.78,1.9,22.38,22.37673130193906,22.6918319466272,3.5,62.44953815351455,193.85,137.76,55.01,1.8,2575.98,3.01,5.01,17.95,-401.98,0,2,False,True,False,False,False,False,False,True,False,False
25,70.53,1.5,31.35,31.346666666666668,30.919318997894145,2.6,48.72260431078526,182.39,142.14,53.94,1.15,1011.08,1.0,5.01,21.05,827.92,1,3,False,False,False,False,False,False,False,False,True,False
40,54.73,1.61,21.11,21.11415454650669,22.609754391390187,2.71,42.35568142159215,183.75,157.78,64.12,1.55,1209.0,3.0,4.99,18.01,340.0,0,0,True,False,False,True,False,False,True,False,False,False
32,52.75,1.66,19.14,19.142836405864426,23.56556909365815,2.49,40.319162303095325,190.86,128.92,71.91,1.26,1248.53,1.01,4.0,24.13,197.47000000000003,2,2,True,False,True,False,False,True,False,False,False,False
52,84.36,1.76,27.23,27.233987603305785,26.90164503779492,3.5,61.665772246116205,164.87,137.25,69.2,1.68,1308.38,2.98,4.01,22.96,976.62,0,2,False,False,False,True,False,True,False,False,False,False
58,59.66,1.76,19.26,19.260072314049587,21.52076364412733,2.7,46.82071240991363,193.79,120.64,52.98,1.72,1787.42,2.99,5.01,14.96,1.5799999999999272,0,0,False,False,False,False,False,False,False,False,True,False
52,59.98,1.71,20.51,20.51229438117712,21.92316157235524,2.02,46.83048768890132,169.37,151.06,58.16,1.24,1499.04,1.0,3.0,11.85,148.96000000000004,2,0,False,True,False,False,False,False,False,False,False,True
30,76.83,1.62,29.28,29.27526291723822,28.97544940228808,2.29,54.56816222422206,174.06,127.01,73.99,1.39,999.97,1.99,4.0,17.11,1268.03,2,1,False,False,False,True,False,False,True,False,False,False
29,58.43,1.61,22.54,22.54156861232205,27.545948725226136,2.01,42.33490215985037,197.67,121.65,72.05,1.2,1296.0,2.0,4.0,16.03,475.0,2,2,True,False,True,False,False,False,False,False,False,True
39,71.32,1.88,20.18,20.178813942960616,23.967493304534432,2.21,54.226383775206045,197.84,146.63,50.97,0.55,665.5,1.0,5.01,20.01,1268.5,2,3,False,True,False,False,False,False,False,False,False,True
39,55.58,1.71,19.01,19.00755788105742,20.39435029298726,2.7,44.24482010715768,183.69,147.75,59.11,1.96,2039.97,3.01,4.0,15.15,-383.97,2,1,True,False,False,False,False,False,False,True,False,False
38,44.9,1.68,15.91,15.908446712018142,20.66838612087244,2.42,35.61989463172827,193.25,143.88,57.92,1.01,1092.62,2.02,3.98,17.95,149.3800000000001,0,1,False,False,True,False,False,False,False,False,True,False
26,59.21,1.51,25.97,25.968159291259155,24.98062256347282,2.71,44.41897338016774,181.25,128.96,71.25,1.69,2420.42,3.02,4.98,19.97,-548.4200000000001,0,2,False,True,False,False,False,False,False,False,True,False
26,87.68,1.63,33.0,33.00086567051828,29.90042295012659,3.5,61.46330915732901,182.88,135.14,73.97,1.75,2052.22,3.03,3.99,23.18,505.7800000000002,2,3,True,False,True,False,False,False,False,False,False,True
45,63.63,1.54,26.83,26.82998819362456,29.042268221161752,2.71,45.150404730874776,199.17,133.28,58.05,1.66,1727.73,3.01,4.0,25.0,190.27,1,3,True,False,False,False,False,False,True,False,False,False
58,109.54,1.91,30.03,30.026589183410547,30.72971438912612,2.22,75.87867085815125,197.5,156.16,55.87,1.48,1065.6,2.0,4.98,15.91,1890.4,2,2,False,False,False,True,False,True,False,False,False,False
56,125.88,1.86,36.39,36.38570933055844,35.0,2.2,81.822,196.94,129.1,63.86,1.0,960.8,2.01,4.0,15.05,2463.2,2,3,False,False,False,False,True,False,False,False,False,False
50,70.32,1.68,24.91,24.91496598639456,29.252529769449342,2.51,49.74962106612322,186.97,161.25,70.19,1.16,1147.36,1.0,2.99,11.87,713.6400000000001,1,0,False,False,True,False,False,False,True,False,False,False
56,85.56,1.69,29.96,29.95693428101257,28.59816726529328,3.49,61.09140808781508,189.23,132.57,50.08,1.77,1842.22,3.01,5.02,23.99,523.78,2,1,True,False,False,False,False,False,True,False,False,False
33,64.38,1.78,20.32,20.31940411564196,22.68075382819338,1.79,49.7781306854091,169.13,144.15,63.97,1.33,1438.79,2.02,3.99,23.06,292.21000000000004,0,3,False,False,True,False,False,False,False,True,False,False
18,60.51,1.59,23.93,23.93497092678296,27.30236727987143,2.21,43.98933755894979,183.97,127.79,53.03,1.15,1012.92,1.01,2.99,8.11,602.08,2,0,True,False,False,False,False,False,True,False,False,False
28,69.13,1.58,27.69,27.691876301874693,28.50902646757633,2.0,49.42171000296448,181.99,134.58,49.9,1.49,1073.69,2.01,5.0,24.0,921.31,0,0,False,False,False,True,False,False,False,False,False,False
31,97.49,1.96,25.38,25.3774468971262,26.502290685568045,3.4,71.65291681063971,188.46,137.25,49.93,1.36,1467.58,1.99,5.01,18.99,1034.42,0,3,True,False,True,False,False,False,False,False,False,False
38,85.97,1.82,25.95,25.953991063881173,28.148384968178654,3.5,61.77083344285681,191.07,160.06,72.1,1.96,2807.11,3.02,4.99,16.07,-341.1100000000001,1,1,True,True,False,False,False,False,False,False,False,False
36,56.0,1.57,22.72,22.7189744005842,28.373558365381864,2.42,40.11080731538616,182.37,123.02,52.99,0.97,961.17,1.01,4.01,25.05,471.83,2,1,True,False,True,False,False,False,True,False,False,False
52,47.69,1.76,15.4,15.395790289256198,19.119865654275376,1.5,38.57173606947608,163.96,149.27,74.17,1.06,1399.2,2.0,5.02,17.11,10.799999999999956,0,1,True,True,False,False,False,True,False,False,False,False
18,64.01,1.63,24.09,24.091986902028683,26.843215360604923,2.19,46.8276578476768,161.7,120.44,73.06,0.66,580.8,1.0,4.0,24.97,1177.2,1,2,False,False,False,False,False,False,False,False,False,False
18,62.43,1.59,24.69,24.69443455559511,26.635811730396675,2.18,45.80126273671336,190.02,161.38,50.38,1.23,1180.8,2.0,5.0,17.97,676.2,0,1,False,False,False,False,False,False,False,False,False,True
43,42.16,1.66,15.3,15.299753229786615,21.13820340651529,1.88,33.24813344381315,172.79,134.26,53.17,0.73,481.8,1.0,4.0,20.03,660.2,0,0,False,False,False,True,False,False,False,False,False,False
30,87.22,1.69,30.54,30.53814642344456,29.381819818670085,3.51,61.59317675415595,185.09,129.92,64.85,1.74,1810.99,3.01,5.0,17.96,808.01,2,1,True,False,False,False,False,False,False,False,False,True
36,76.15,1.82,22.99,22.98937326409854,26.70870756569342,2.8,55.81131918872447,191.78,120.66,50.15,1.49,1431.59,2.01,4.02,18.95,459.4100000000001,0,1,True,False,False,False,False,False,False,False,False,False
18,127.92,1.92,34.7,34.700520833333336,32.137482441866815,3.0,86.80973246036397,184.44,168.17,69.96,1.26,1211.62,2.02,4.01,16.91,2164.38,0,1,False,False,False,False,False,False,False,False,False,False
24,58.82,1.76,18.99,18.98889462809917,23.042199944788766,1.69,45.26657799247525,189.09,129.86,72.93,0.63,415.42,1.0,5.0,21.06,1344.58,2,1,True,False,False,True,False,False,False,False,False,False
41,82.17,1.66,29.82,29.81927710843373,30.284776579530742,3.5,57.28499908459958,176.8,138.34,74.12,1.98,2060.78,3.01,4.01,14.98,266.2199999999998,0,1,False,False,False,False,False,False,False,False,False,True
42,60.3,1.74,19.92,19.916765755053508,20.866060956213715,2.69,47.71776524340313,194.87,140.88,52.12,1.79,2097.52,3.02,5.0,15.99,-253.52,2,3,False,False,True,False,False,False,False,False,False,True
28,79.51,1.59,31.45,31.45049642023654,32.375722484306486,1.51,53.76806305272791,180.81,130.24,54.05,1.48,1950.34,1.98,5.0,16.05,253.66000000000008,1,2,True,True,False,False,False,False,False,False,True,False
53,55.68,1.55,23.18,23.175858480749216,23.802880356141856,1.8,42.42655621770022,170.93,140.91,53.96,1.13,814.28,2.01,5.0,23.99,871.72,2,0,False,False,False,True,True,False,False,False,False,False
43,66.62,1.85,19.47,19.46530314097881,20.625549461389365,3.2,52.8792589488224,169.95,121.09,58.27,1.18,1038.4,1.0,5.01,23.97,586.5999999999999,1,3,True,False,False,False,False,False,False,False,False,True
26,103.9,1.68,36.81,36.812641723356016,34.33074085871076,3.48,68.23036024779952,162.06,134.87,61.98,1.29,1239.43,2.01,3.98,15.07,1637.57,1,2,True,False,False,False,False,False,False,True,False,False
43,82.51,1.95,21.7,21.69888231426693,26.181430169818924,3.5,60.90770196688241,181.1,159.89,69.97,1.89,2206.2,2.97,4.0,20.91,174.80000000000018,1,1,True,False,True,False,False,False,False,False,False,True
40,62.99,1.53,26.91,26.90845401341365,28.83336054527089,2.7,44.82786619253388,197.11,142.95,73.33,1.93,1507.72,3.02,5.01,23.02,444.28,1,2,False,False,False,True,False,False,False,False,False,False
41,43.56,1.77,13.9,13.904050560183856,18.550935162257385,1.6,35.479212643320686,181.94,165.14,58.1,1.2,792.72,1.01,2.99,12.03,471.28,2,0,True,False,False,True,False,False,False,False,False,True
19,73.18,1.79,22.84,22.83948690739989,21.10685278795888,1.62,57.7340051297717,177.33,124.77,60.96,0.82,541.2,1.0,4.01,24.97,1520.8,2,0,True,False,False,True,False,False,False,False,False,False
30,51.78,1.74,17.1,17.10265556876734,24.925648637912527,2.0,38.873499135288895,174.2,150.11,64.2,1.09,784.8,2.0,4.98,15.99,739.2,1,0,True,False,False,True,False,False,True,False,False,False
51,70.91,1.72,23.97,23.969037317468903,27.330750246929725,2.61,51.52976499990213,193.87,143.13,65.98,1.31,1732.08,2.02,5.0,18.95,213.92000000000007,0,0,False,True,False,False,True,False,False,False,False,False
32,62.21,1.63,23.41,23.41450562685837,25.792049793569173,2.69,46.164765823420616,190.31,160.86,58.16,1.68,2400.55,2.99,4.0,18.92,-594.5500000000002,1,0,False,True,False,False,False,False,False,False,True,False
21,51.25,1.59,20.27,20.272141133657687,24.917111505699467,1.8,38.47998035332903,196.92,139.06,66.12,1.28,1382.4,2.0,5.0,21.98,-130.4000000000001,0,0,False,False,True,False,False,False,False,False,False,True
45,51.38,1.65,18.87,18.87235996326906,23.58927482645203,2.29,39.25983059416895,170.2,136.15,50.08,1.44,1266.05,1.0,3.99,22.98,163.95000000000005,1,0,False,False,False,False,False,False,False,False,False,True
34,66.37,1.62,25.29,25.28959000152416,26.57930595192323,2.19,48.72931463970855,199.27,163.97,55.91,0.8,792.72,1.01,4.98,15.08,899.28,0,1,True,False,True,False,True,False,False,False,False,False
58,109.07,1.91,29.9,29.89775499575121,27.77303969159638,2.2,78.77794560837583,197.8,155.84,55.87,1.48,1067.38,2.02,4.98,15.91,1700.62,2,2,True,False,False,True,False,False,False,False,False,False
45,48.5,1.64,18.03,18.03242117787032,26.83565657002728,2.48,35.48470656353677,167.88,159.47,67.08,1.25,1352.25,2.02,5.0,24.9,19.75,0,1,True,False,True,False,True,False,False,False,False,False
25,64.4,1.71,22.02,22.023870592660995,21.370673578146025,1.79,50.63728621567396,179.0,167.15,60.91,1.12,1355.2,1.0,5.0,14.95,332.79999999999995,1,1,False,True,False,False,False,False,False,False,True,False
37,54.63,1.57,22.16,22.16317091971277,27.02522771544833,2.42,39.86611809905058,170.31,150.23,61.93,1.31,1298.08,1.01,5.0,20.96,277.9200000000001,2,1,False,False,True,False,False,True,False,False,False,False
54,50.32,1.61,19.41,19.41283129508892,24.75825434838593,2.69,37.8616464118922,187.99,156.71,66.74,1.49,1806.18,1.02,3.0,9.9,-575.1800000000001,2,0,False,True,False,False,False,False,False,True,False,False
36,69.06,1.65,25.37,25.366391184573008,26.6521134151114,2.71,50.65405047552407,165.01,126.3,65.04,1.23,810.32,1.0,4.01,14.86,1109.6799999999998,2,1,True,False,False,True,False,False,True,False,False,False
18,73.38,1.55,30.54,30.54318418314256,32.0880694353723,2.01,49.8337746483238,172.29,124.49,56.24,0.83,729.07,1.0,4.01,21.95,1221.9299999999998,2,3,True,False,False,False,False,False,False,False,False,True
47,68.77,1.74,22.71,22.71436121019949,21.510634310436764,2.31,53.97713678471264,160.09,167.14,58.16,1.48,1597.07,1.99,4.0,17.1,209.9300000000001,2,3,True,False,True,False,False,False,True,False,False,False
37,102.84,1.89,28.79,28.78978751994625,30.99245737603172,3.08,70.967356834489,175.12,167.81,56.74,0.54,356.08,1.0,4.99,18.0,2276.92,0,3,True,False,False,True,False,False,False,False,True,False
32,49.31,1.62,18.79,18.78905654625819,19.86285138369088,2.5,39.51562798270203,167.05,158.16,74.06,1.18,1556.3,1.99,5.0,22.09,-210.29999999999995,1,0,False,True,False,False,False,False,False,False,False,False
30,61.25,1.55,25.49,25.4942767950052,27.795914840801764,1.62,44.22500216000891,172.15,120.14,52.21,1.3,1405.17,2.01,4.0,24.9,214.83,0,3,True,False,True,False,False,False,False,True,False,False
24,60.21,1.79,18.79,18.79154832870385,19.74443286702576,2.68,48.32187697076379,170.2,164.8,62.91,1.97,1538.96,3.02,5.0,20.12,125.03999999999996,2,1,True,False,False,True,False,False,False,True,False,False
55,58.91,1.56,24.21,24.20693622616699,24.30438665383292,2.62,44.59228582222703,181.73,155.5,57.19,1.26,1665.97,2.02,3.0,10.1,23.029999999999973,0,0,False,True,False,False,False,False,False,False,False,True
27,86.65,1.76,27.97,27.97326962809917,32.37718066224315,3.49,58.59517295616631,197.18,121.27,60.07,1.21,1160.63,1.99,3.99,21.93,1242.37,2,1,False,False,False,False,False,False,True,False,False,False
25,76.46,1.96,19.9,19.90316534777176,24.04088273843092,2.31,58.07834105819571,180.16,119.42,59.13,0.67,663.3,1.0,5.01,18.24,1377.7,2,0,True,False,True,False,False,False,False,False,False,False
41,76.57,1.97,19.73,19.72995954546625,25.522052180732533,2.61,57.02776464521309,165.42,157.38,65.05,1.14,1095.31,2.01,4.0,16.83,1124.69,0,1,True,False,False,False,False,False,True,False,False,False
34,111.91,1.85,32.7,32.69831994156318,33.8338844815787,3.57,74.04649987666527,162.08,133.87,65.77,1.17,842.4,2.0,3.99,14.76,2168.6,2,2,False,False,False,True,False,False,False,True,False,False
18,126.66,1.67,45.42,45.41575531571587,35.0,2.19,82.329,171.68,153.23,60.1,1.46,1927.2,2.0,4.98,23.98,1337.8,0,3,False,True,False,False,False,False,False,True,False,False
31,126.44,1.83,37.76,37.755680969870696,35.0,2.11,82.186,198.24,146.26,62.08,1.09,1178.18,2.01,5.01,18.03,2108.82,0,3,True,False,True,False,False,False,False,False,False,True
40,70.05,1.55,29.16,29.15712799167533,30.96431118443072,1.51,48.359500015306274,171.04,163.03,73.99,0.86,1040.6,1.0,4.02,24.02,868.4000000000001,1,2,False,True,False,False,False,False,False,False,False,False
42,55.56,1.73,18.56,18.56393464532728,22.03459272374685,2.7,43.31758028268624,166.98,165.32,61.88,1.68,1964.09,2.99,4.99,25.12,-524.0899999999999,0,0,False,False,True,False,False,False,True,False,False,False
56,81.51,1.86,23.56,23.560527228581336,24.35505975682122,3.5,61.65819079221503,161.74,145.2,70.22,1.81,2590.29,3.01,5.0,20.97,-475.29,0,1,False,True,False,False,False,False,True,False,False,False
38,70.74,1.52,30.62,30.618074792243764,27.665167218433474,1.98,51.16966070968016,164.02,143.61,65.94,1.19,1570.8,2.0,4.99,21.17,331.20000000000005,1,3,True,True,False,False,False,False,False,True,False,False
55,88.72,1.68,31.43,31.4342403628118,33.54846201915898,3.5,58.95580449660216,176.07,152.46,64.95,1.77,1381.66,3.01,4.0,22.95,952.34,0,1,False,False,False,True,False,False,True,False,False,False
46,40.41,1.76,13.05,13.045583677685949,16.372166889573982,2.21,33.79400735992315,172.68,131.41,62.96,0.8,968.0,1.0,3.98,17.94,360.0,0,0,False,True,False,False,False,True,False,False,False,False
25,104.98,1.88,29.7,29.70235400633772,28.96784777827399,2.29,74.56955340236797,173.78,155.85,67.0,1.34,1765.85,1.98,4.01,15.0,1101.15,1,2,True,True,False,False,False,False,False,False,False,True
45,89.7,1.81,27.38,27.380116602057324,24.79921393602853,3.5,67.45510509938241,177.87,152.68,69.95,1.69,1977.3,3.0,3.98,14.87,660.7,0,2,True,False,True,False,False,True,False,False,False,False
18,85.21,1.85,24.9,24.89700511322133,27.50205103691949,3.49,61.775502311440896,194.9,156.16,61.86,1.66,1940.71,2.99,5.01,17.08,499.29,2,3,False,False,True,False,False,False,False,False,True,False
52,82.15,1.72,27.77,27.76838831800974,26.239898015868665,2.73,60.5939237799639,166.27,136.96,52.79,1.02,979.2,2.0,4.0,17.0,1226.8,1,1,True,False,False,False,False,True,False,False,False,False
20,76.43,1.62,29.12,29.122847126962352,29.395578278704896,2.61,53.96295952158586,168.27,132.17,50.8,1.36,1305.6,2.0,4.0,23.0,788.4000000000001,2,0,False,False,False,False,False,False,True,False,False,False
35,43.89,1.62,16.72,16.723822588020116,18.700011995703427,2.0,35.68256473508577,196.15,157.36,65.15,0.57,689.7,1.0,4.0,20.02,591.3,0,0,True,True,False,False,True,False,False,False,False,False
30,77.76,1.78,24.54,24.54235576316122,26.25514926206454,2.57,57.34399593381862,165.87,130.04,62.01,1.41,1859.65,1.99,5.01,15.06,211.3499999999999,1,2,False,True,False,False,False,True,False,False,False,False
55,62.72,1.86,18.13,18.129263498670365,20.48472401946511,2.89,49.87198109499148,198.13,143.77,53.07,1.38,993.6,2.0,4.99,21.85,677.4,1,2,True,False,False,True,False,True,False,False,False,False
32,46.15,1.9,12.78,12.78393351800554,15.571617568572533,2.91,38.96369849210378,193.01,143.34,50.01,1.45,1920.38,2.04,4.0,24.04,-668.3800000000001,0,1,False,True,False,False,False,False,True,False,False,False
22,59.04,1.78,18.63,18.634010857215,22.006132703441487,2.7,46.04757925188815,185.32,141.02,58.07,1.67,2386.26,2.99,5.0,24.97,-749.2600000000002,0,0,True,True,False,False,False,False,False,False,False,True
